Team,Total Attempts,Attempts On Target,Attempts Off Target,Blocked,Balls Recovered,Tackles,Tackles Won,Tackles lost,Clearances Attempted,Passing Accuracy %,Passes Attempted,Passes Completed,Possession,Crossing Accuracy,Crosses Attempted,Crosses Completed,Free-kicks Taken,Saves,Goals Conceded,Own Goals Conceded,Saves From Penalties,Clean Sheets,Punches made,Goals,Right Foot,Left Foot,Head,Other,Goals inside Area,Goals outside Area,Penalties Scored,Attacks,Assists,Corners Taken,Offsides,Dribbles,Country,Fouls Commited,Fouls Suffered,Yellow Cards,Red Cards,symbol,standing,W,D,L,GF,GA,GD,P
Liverpool,128,57,47,24,304,109,40,69,115,87.9,4290,3783,54.6,20.8,120,25,98,23,5,0,1,5,3,17,7,6,4,0,15,2,2,397,13,39,11,132,England,87,73,17,1,LIV,1,7,0,1,17,5,12,21
Barcelona,126,55,38,33,274,109,49,60,95,88.1,4748,4221,58.5,22.1,95,21,134,14,13,1,0,2,7,28,10,11,5,1,22,5,3,414,23,41,5,151,Spain,80,87,10,1,BAR,2,6,1,1,28,13,15,19
Arsenal,109,44,36,29,254,89,31,58,88,87.0,3919,3431,53.6,29.7,145,43,75,17,3,0,0,5,2,16,5,6,4,0,13,2,2,435,12,51,13,124,England,89,65,13,0,ARS,3,6,1,1,16,3,13,19
Inter,104,31,48,25,294,87,43,44,170,87.8,4287,3795,50.6,26.2,122,32,100,23,1,0,0,7,6,11,7,3,0,0,9,1,3,307,7,19,18,71,Italy,77,92,16,0,INT,4,6,1,1,11,1,10,19
Atleti,99,37,38,24,365,137,57,80,99,86.0,4235,3699,47.9,25.8,128,33,91,24,12,0,0,1,1,20,12,6,2,0,18,2,0,374,17,39,11,81,Spain,78,73,15,1,ATM,5,6,0,2,20,12,8,18
Leverkusen,132,52,50,30,300,90,27,63,129,91.0,5173,4717,55.1,23.1,134,31,69,18,7,0,0,5,2,15,6,7,1,0,11,3,1,451,13,39,11,103,Germany,86,58,17,1,B04,6,5,1,2,15,7,8,16
Lille,76,34,28,14,322,105,45,60,135,85.1,3638,3128,48.4,13.6,81,11,104,27,10,0,0,1,2,17,7,7,1,0,14,1,2,315,10,32,15,129,France,83,81,21,2,LILL,7,5,1,2,17,10,7,16
Aston Villa,108,39,40,29,294,94,35,59,102,87.0,3642,3176,53.3,22.6,93,21,128,33,6,0,0,4,2,13,8,5,0,0,8,5,0,334,11,36,12,122,England,83,97,17,0,AVL,8,5,1,2,13,6,7,16
Atalanta,133,50,55,28,339,91,33,58,99,86.9,4024,3509,51.5,29.4,170,50,90,13,6,0,0,5,6,20,8,9,2,1,18,2,1,466,16,49,22,142,Italy,84,80,14,0,ATA,9,4,3,1,20,6,14,15
Real Madrid,128,54,45,29,271,141,55,86,119,89.8,4364,3934,51.9,19.5,128,25,99,38,12,0,0,1,3,20,11,7,2,0,18,2,1,379,11,52,7,150,Spain,94,84,26,0,RMA,11,5,0,3,20,12,8,15
