,name,Minutes played,Matches played,Goals,Assists,Distance covered (km),Top speed (km/h),Corners taken,Offsides,Dribbles,Total attempts,Attempts on target,Attempts off target,Blocked,Balls recovered,Tackles,Tackles won,Tackles lost,Clearances attempted,Fouls committed,Fouls suffered,Yellow cards,Red cards,Passing accuracy (%),Passes attempted,Passes completed,Crossing accuracy (%),Crosses attempted,Crosses completed,Free-kicks taken,Saves,Goals conceded,Saves from penalties,Clean sheets,Punches made,Right foot,Left foot,Head,Other,Goals inside area,Goals outside area,Penalties scored,team,position
0,Haaland,681,8,6,0,75.8,36.6,0,0,2,33,17,8,8,5,2,0,2,2,5,3,0,0,79,77,59,0,2,0,0,0,0,0,3,0,3,2,0,0,6,0,1,Man City,Forward
1,Gvardiol,635,8,0,1,77.8,33.1,0,0,3,3,1,1,1,42,6,2,4,9,8,2,0,0,94.3,539,510,25,4,1,8,0,0,0,3,0,0,0,0,0,0,0,0,Man City,Defender
2,Akanji,601,7,0,1,67,33.3,0,0,4,2,0,1,1,45,7,4,3,8,5,2,0,0,95.3,619,593,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,Man City,Defender
3,Lewis,594,8,0,1,73.3,32.5,0,2,6,6,3,1,2,27,2,1,1,5,2,9,0,0,93.3,440,412,50,2,1,5,0,0,0,4,0,0,0,0,0,0,0,0,Man City,Defender
4,Bernardo Silva,586,7,0,0,77.1,29.4,3,1,10,6,1,2,3,7,6,0,6,5,3,3,1,0,91.2,356,325,14.3,21,3,4,0,0,0,2,0,0,0,0,0,0,0,0,Man City,Midfielder
5,Foden,552,7,3,1,72.3,33.3,20,0,16,22,9,8,5,12,4,2,2,5,1,4,0,0,91.7,346,316,30.8,39,12,6,0,0,0,4,0,0,3,0,0,3,0,0,Man City,Midfielder
6,Ederson,540,6,0,0,29.4,27.3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,89.5,183,162,0,0,0,10,17,14,0,1,2,0,0,0,0,0,0,0,Man City,Goalkeeper
7,Matheus Nunes,531,7,1,3,65.3,36.3,2,2,14,5,3,1,1,29,11,7,4,5,8,6,1,0,94.2,369,345,20,20,4,1,0,0,0,3,0,1,0,0,0,1,0,1,Man City,Midfielder
8,Gündoğan,441,8,2,0,57.6,31.4,15,1,0,15,5,4,6,11,3,2,1,2,0,2,0,0,93.1,438,412,33.3,15,5,6,0,0,0,4,0,1,1,0,0,0,2,0,Man City,Midfielder
9,Savinho,404,7,1,1,46.6,34.4,6,0,34,15,3,3,9,8,1,0,1,0,2,3,1,0,87.3,195,170,24,25,6,0,0,0,0,6,0,1,0,0,0,1,0,0,Man City,Midfielder
10,Grealish,324,5,1,0,39.4,31.9,2,1,10,7,1,1,5,6,6,4,2,1,2,11,1,0,90.2,144,131,50,2,1,2,0,0,0,2,0,1,0,0,0,1,0,0,Man City,Midfielder
11,De Bruyne,314,6,0,0,41.2,32.3,15,0,7,14,3,5,6,5,1,0,1,1,3,1,0,0,81.5,199,168,14.8,27,4,6,0,0,0,2,0,0,0,0,0,0,0,0,Man City,Midfielder
12,Rúben Dias,270,5,0,0,33.6,32.3,0,0,0,0,0,0,0,13,4,1,3,7,5,0,2,0,97,263,255,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,Man City,Defender
13,Stones,266,4,1,1,31.9,31.4,0,0,0,4,2,2,0,17,1,0,1,2,2,0,1,0,98.5,298,293,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,Man City,Defender
