Team,Country_x,Total Attempts,Attempts On Target,Attempts Off Target,Blocked,Balls Recovered,Tackles,Tackles Won,Tackles lost,Clearances Attempted,Passing Accuracy %,Passes Attempted,Passes Completed,Possession,Crossing Accuracy,Crosses Attempted,Crosses Completed,Free-kicks Taken,Saves,Goals Conceded,Own Goals Conceded,Saves From Penalties,Clean Sheets,Punches made,GP,Goals,Right Foot,Left Foot,Head,Other,Goals inside Area,Goals outside Area,Penalties Scored,Country_y,Attacks,Assists,Corners Taken,Offsides,Dribbles,Country,Fouls Commited,Fouls Suffered,Yellow Cards,Red Cards
Bayern München,Germany,184,70,59,55,336,123,55,68,52,89.6,5629,5072,63.8,20.1,189,38,76,10,12,0,0,2,1,8,20,7,7,6,0,19,1,4,Germany,520,12,69,16,158,Germany,78,64,14,1
Man City,England,149,55,43,51,264,75,31,44,63,92.5,5315,4941,64.9,22.8,180,41,70,18,14,0,0,3,3,8,18,8,7,1,0,14,3,2,England,587,10,64,8,137,England,61,56,10,0
Paris,France,149,49,57,43,352,111,46,65,96,89.1,5248,4718,59.8,24.0,154,37,103,21,9,1,0,2,4,8,14,9,2,2,0,12,1,0,France,524,13,57,11,191,France,75,86,10,1
PSV,Netherlands,141,57,47,37,331,144,53,91,133,86.8,4213,3680,52.8,24.7,150,37,88,26,12,0,0,1,3,8,16,9,4,2,0,10,5,0,Netherlands,391,12,49,13,105,Netherlands,83,69,20,1
Stuttgart,Germany,141,47,48,46,344,129,56,73,114,86.3,4416,3824,56.6,26.0,177,46,115,15,17,0,0,1,1,8,13,7,3,2,0,10,2,0,Germany,438,13,60,17,110,Germany,91,96,13,0
Atalanta,Italy,133,50,55,28,339,91,33,58,99,86.9,4024,3509,51.5,29.4,170,50,90,13,6,0,0,5,6,8,20,8,9,2,1,18,2,1,Italy,466,16,49,22,142,Italy,84,80,14,0
Leverkusen,Germany,132,52,50,30,300,90,27,63,129,91.0,5173,4717,55.1,23.1,134,31,69,18,7,0,0,5,2,8,15,6,7,1,0,11,3,1,Germany,451,13,39,11,103,Germany,86,58,17,1
Liverpool,England,128,57,47,24,304,109,40,69,115,87.9,4290,3783,54.6,20.8,120,25,98,23,5,0,1,5,3,8,17,7,6,4,0,15,2,2,England,397,13,39,11,132,England,87,73,17,1
Real Madrid,Spain,128,54,45,29,271,141,55,86,119,89.8,4364,3934,51.9,19.5,128,25,99,38,12,0,0,1,3,8,20,11,7,2,0,18,2,1,Spain,379,11,52,7,150,Spain,94,84,26,0
Barcelona,Spain,126,55,38,33,274,109,49,60,95,88.1,4748,4221,58.5,22.1,95,21,134,14,13,1,0,2,7,8,28,10,11,5,1,22,5,3,Spain,414,23,41,5,151,Spain,80,87,10,1
Milan,Italy,122,48,41,33,244,102,35,67,124,89.3,4001,3586,54.1,22.1,104,23,122,39,11,0,0,1,4,8,14,9,4,1,0,13,1,0,Italy,361,12,40,9,143,Italy,87,96,26,1
